Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat,lost
3572009598.382679,0.000977,0.048858,0.029640,0.037163,-0.008922,-0.008630,1.000000
3572009598.392681,0.044306,0.048215,0.065535,0.037802,-0.020058,-0.008774,1.000000
3572009598.402680,0.046921,0.048887,0.062373,0.039481,-0.074952,-0.009244,1.000000
3572009598.412680,0.032516,0.049669,0.035894,0.040978,-0.035841,-0.011328,1.000000
3572009598.422681,0.037939,0.049976,0.037382,0.041686,-0.000658,-0.012199,1.000000
3572009598.432682,0.049663,0.050409,0.088847,0.042452,-0.033550,-0.012006,1.000000
3572009598.442682,0.040728,0.051212,0.053633,0.044696,0.008520,-0.012792,1.000000
3572009598.452682,0.074506,0.051695,0.043777,0.045873,-0.042417,-0.012312,1.000000
3572009598.462682,0.003962,0.053215,0.076642,0.046688,-0.037084,-0.013352,1.000000
3572009598.472683,0.058477,0.052606,-0.011493,0.048462,-0.023960,-0.014207,1.000000
3572009598.482684,-0.032031,0.053621,0.047019,0.047595,-0.010938,-0.014651,1.000000
3572009598.492683,0.121797,0.051925,0.000419,0.048499,0.014093,-0.014698,1.000000
3572009598.502684,0.062633,0.054808,0.065495,0.048025,-0.050103,-0.014002,1.000000
3572009598.512684,0.043188,0.055924,0.068105,0.049440,0.014585,-0.015225,1.000000
3572009598.522686,0.031983,0.056378,0.105019,0.050952,-0.052371,-0.014500,1.000000
3572009598.532685,0.015905,0.056557,0.067893,0.053459,0.024342,-0.015776,1.000000
3572009598.542686,0.040005,0.056188,0.000699,0.054867,-0.038800,-0.014748,1.000000
3572009598.552686,0.100986,0.056609,0.046983,0.054198,0.020869,-0.015616,1.000000
3572009598.562686,0.045597,0.058769,0.040283,0.054975,0.019461,-0.014694,1.000000
3572009598.572688,0.071659,0.059235,0.032714,0.055535,-0.048686,-0.013837,1.000000
3572009598.582685,0.029510,0.060531,0.066060,0.055800,0.014532,-0.015020,1.000000
3572009598.592689,0.022431,0.060487,0.096513,0.057105,-0.007887,-0.014300,1.000000
3572009598.602689,0.059533,0.060264,0.052519,0.059257,-0.023226,-0.014262,1.000000
3572009598.612688,0.086576,0.061164,0.096779,0.060038,-0.021107,-0.014679,1.000000
3572009598.622690,0.017522,0.062842,0.041479,0.062112,-0.007718,-0.015022,1.000000
3572009598.632689,0.107383,0.062423,0.022836,0.062508,-0.053215,-0.014960,1.000000
3572009598.642689,-0.023882,0.064722,0.053231,0.062304,-0.054235,-0.016246,1.000000
3572009598.652690,0.119415,0.063082,0.119491,0.063009,-0.014426,-0.017529,1.000000
3572009598.662690,0.111768,0.065692,0.078799,0.065695,0.034711,-0.017600,1.000000
3572009598.672690,0.065083,0.067954,0.098861,0.067151,-0.039098,-0.016213,1.000000
3572009598.682689,-0.012105,0.068853,0.033189,0.069093,0.020267,-0.017047,1.000000
3572009598.692690,0.083280,0.067388,0.109857,0.069099,-0.019578,-0.016102,1.000000
3572009598.702691,0.021587,0.068833,0.033082,0.071338,0.018138,-0.016361,1.000000
3572009598.712690,0.091813,0.068378,0.063860,0.071285,-0.035674,-0.015495,1.000000
