Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296719.831332,4.517017,4.500308,1.748547,1.798441,-1.270833,-1.334348
3571296719.841332,4.425441,4.500821,1.699610,1.798287,-1.307173,-1.331343
3571296719.851332,4.475463,4.496924,1.768826,1.795763,-1.421159,-1.330250
3571296719.861332,4.530651,4.495917,1.779727,1.796748,-1.333660,-1.334776
3571296719.871332,4.634752,4.497449,1.659139,1.798213,-1.224126,-1.334821
3571296719.881333,4.551825,4.503734,1.763635,1.793692,-1.390245,-1.329513
3571296719.891334,4.504613,4.506048,1.696212,1.794525,-1.379455,-1.332563
3571296719.901330,4.554706,4.505922,1.776097,1.792028,-1.331589,-1.334948
3571296719.911334,4.480365,4.508135,1.769641,1.793544,-1.279010,-1.334886
3571296719.921333,4.521271,4.506494,1.748675,1.794659,-1.294816,-1.332258
3571296719.931334,4.499384,4.506962,1.835219,1.794703,-1.263863,-1.330522
3571296719.941335,4.518528,4.506268,1.775948,1.798957,-1.391739,-1.327353
3571296719.951334,4.506327,4.506834,1.677207,1.800137,-1.286185,-1.330576
3571296719.961335,4.450681,4.506535,1.581902,1.796428,-1.276081,-1.328495
3571296719.971335,4.510934,4.503511,1.822739,1.788246,-1.302890,-1.326016
3571296719.981335,4.479534,4.503633,1.690549,1.792215,-1.286445,-1.324959
3571296719.991336,4.580865,4.502178,1.720228,1.789540,-1.388120,-1.323147
3571296720.001332,4.606121,4.505970,1.723361,1.788459,-1.361481,-1.326386
3571296720.011336,4.538191,4.510748,1.709970,1.787581,-1.301204,-1.328176
3571296720.021336,4.532794,4.511842,1.765281,1.786082,-1.379575,-1.326941
3571296720.031336,4.492780,4.512799,1.719109,1.787366,-1.306434,-1.329591
3571296720.041337,4.582416,4.511589,1.644360,1.786325,-1.227515,-1.328548
3571296720.051338,4.576782,4.514629,1.720519,1.781663,-1.256897,-1.323697
3571296720.061339,4.553022,4.517313,1.835596,1.780952,-1.304135,-1.320502
3571296720.071338,4.616553,4.518815,1.695301,1.785903,-1.320008,-1.319762
3571296720.081339,4.580813,4.523378,1.734169,1.783774,-1.308965,-1.319831
3571296720.091340,4.498094,4.525951,1.872435,1.783643,-1.323358,-1.319359
3571296720.101335,4.466972,4.524396,1.712768,1.790265,-1.314346,-1.319612
3571296720.111340,4.563087,4.521377,1.686607,1.788777,-1.300994,-1.319413
3571296720.121339,4.542494,4.523161,1.797289,1.786081,-1.259012,-1.318572
3571296720.131340,4.587108,4.523758,1.768804,1.788903,-1.239158,-1.315718
3571296720.141340,4.454676,4.526455,1.697189,1.790191,-1.367182,-1.312026
3571296720.151340,4.665891,4.522854,1.777797,1.787955,-1.337118,-1.314756
3571296720.161339,4.523003,4.529660,1.766527,1.789755,-1.305358,-1.315894
3571296720.171341,4.547144,4.529093,1.721555,1.790912,-1.295424,-1.315430
3571296720.181342,4.498545,4.529707,1.734597,1.789817,-1.369922,-1.314502
3571296720.191342,4.517219,4.528092,1.775290,1.789424,-1.337418,-1.317257
3571296720.201338,4.489299,4.527389,1.708776,1.791031,-1.373354,-1.318298
3571296720.211342,4.490371,4.525441,1.829723,1.789321,-1.288218,-1.321048
3571296720.221342,4.534432,4.523443,1.793328,1.793578,-1.405585,-1.319514
3571296720.231343,4.561696,4.523960,1.668181,1.795871,-1.328389,-1.323783
3571296720.241343,4.553653,4.525604,1.690597,1.791940,-1.347008,-1.324088
3571296720.251342,4.561622,4.526818,1.721402,1.789296,-1.333379,-1.325289
3571296720.261343,4.562403,4.528330,1.745068,1.788281,-1.300445,-1.325769
3571296720.271342,4.527290,4.529730,1.755338,1.788462,-1.330798,-1.324619
